season,vq22,vq22a,vq23,vq23_1,vq24_1,vq24_2,vq24_3,vq24_4,vq24_5,vq24_6,vq24_7,vq24_8,vq24_9,vq24_10,vq25,vq26,vq26a_1,vq26a_2,vq26b,vq27,vq27a_1,vq27a_2,vq27a_3,vq27a_4,vq27a_5,vq28,vq28a_1,vq28a_2,vq28a_3,vq28a_4,vq28a_5,vq29,vq29a_1,vq29a_2,vq29a_3,vq29a_4,vq30,vq30a,q30,q30a,vq30b,vq30b_1_1,vq30b_1_2,vq30b_1_3,vq30b_1_4,vq30b_1_5,vq30c,vq30d,vq30e,vq30e_1_1,vq30e_1_2,vq30e_1_3,vq30e_1_4,vq30e_1_5,vb1,vb2,vb3,vb4,vb5,vb6,vb7,w
1,2,1,3,,2,,,,,,,,,,1,2,,,10,4,,,,,,2,,,,,,2,,,,,1,0,5000,0,1,,,,,,1,1,1,,,,,,11,1,13,2,2,22,1,4.698875
1,5,4,1,2,64,,,,,,,,,,2,,,,,4,,,,,,2,,,,,,2,,,,,1,0,7000,0,4,3,,,,,1,3,1,,,,,,6,5,4,1,6,1,1,0.874514
1,5,4,1,1,2,,,,,,,,,,3,,,,,4,,,,,,2,,,,,,2,,,,,88,0,7500,0,5,4,,,,,8,8,11,3,,,,,11,6,13,3,1,4,1,0.712033
1,3,2,1,1,2,,,,,,,,,,3,,,,,3,4,,,,,2,,,,,,2,,,,,88,2,7500,10000,6,3,,,,,88,9,1,,,,,,5,4,8,2,5,10,1,2.53432
1,5,4,1,1,2,,,,,,,,,,2,,,,,4,,,,,,2,,,,,,2,,,,,88,0,10000,0,1,,,,,,1,2,1,,,,,,6,4,6,2,7,1,1,0.874514
1,30,29,1,1,1,,,,,,,,,,3,,,,,4,,,,,,1,2,,,,,2,,,,,2,0,10000,0,1,,,,,,88,2,1,,,,,,4,5,5,1,5,2,2,1.370754
1,6,5,1,1,4,,,,,,,,,,1,3,,1,4,4,,,,,,1,2,,,,,2,,,,,2,0,10000,0,1,,,,,,1,8,1,,,,,,8,5,1,2,8,1,2,0.380418
1,7,6,1,2,4,,,,,,,,,,1,3,,2,5,4,,,,,,1,2,4,,,,2,,,,,2,0,10000,0,1,,,,,,6,7,1,,,,,,5,3,6,1,8,4,2,0.985565
1,4,3,1,2,4,,,,,,,,,,1,3,,2,5,4,,,,,,1,2,4,,,,2,,,,,2,0,10000,0,1,,,,,,6,7,1,,,,,,5,3,6,1,8,4,2,1.040761
1,5,4,1,1,12,,,,,,,,,,1,3,,1,4,4,,,,,,1,2,3,4,,,2,,,,,2,0,10000,0,4,3,,,,,4,4,1,,,,,,5,6,1,2,7,1,1,1.216018
1,6,5,1,1,2,,,,,,,,,,1,1,8,,4,1,2,,,,,2,,,,,,2,,,,,2,2,10000,10000,1,,,,,,88,9,88,3,,,,,10,2,11,2,1,13,2,0.52029
1,4,3,3,,2,,,,,,,,,,1,1,1,,7,4,,,,,,1,4,5,,,,2,,,,,3,0,15000,0,1,,,,,,7,8,1,,,,,,7,3,6,2,6,22,2,0.046381
