"name","title"
"season","受訪季別"
"vq22","出國旅遊在國外停留天數"
"vq22a","出國旅遊在國外停留夜數"
"vq23","請問您這次次出國出境的交通工具為?"
"vq23_1","請問您搭乘的飛機為？"
"vq24_1","請問您這次出國到過那幾個國家或地區1"
"vq24_2","請問您這次出國到過那幾個國家或地區2"
"vq24_3","請問您這次出國到過那幾個國家或地區3"
"vq24_4","請問您這次出國到過那幾個國家或地區4"
"vq24_5","請問您這次出國到過那幾個國家或地區5"
"vq24_6","請問您這次出國到過那幾個國家或地區6"
"vq24_7","請問您這次出國到過那幾個國家或地區7"
"vq24_8","請問您這次出國到過那幾個國家或地區8"
"vq24_9","請問您這次出國到過那幾個國家或地區9"
"vq24_10","請問您這次出國到過那幾個國家或地區10"
"vq25","請問您這次出國旅遊,最主要的目的是什麼﹖"
"vq26","請問您這次出國旅遊主要利用日期"
"vq26a_1","請問您是利用何種國定假日"
"vq26a_2","請問您利用何種平常日"
"vq26b","請問您選擇這次出國旅遊地點,最主要的原因是什麼?"
"vq27","請問您這次出國是如何安排"
"vq27a_1","請問您這次會選擇該旅行社的原因1"
"vq27a_2","請問您這次會選擇該旅行社的原因2"
"vq27a_3","請問您這次會選擇該旅行社的原因3"
"vq27a_4","請問您這次會選擇該旅行社的原因4"
"vq27a_5","請問您這次會選擇該旅行社的原因5"
"vq28","請問您這次出國旅遊有沒有使用在網路上訂購旅遊相關產品？"
"vq28a_1","請問您使用的網路訂購的旅遊相關產品1"
"vq28a_2","請問您使用的網路訂購的旅遊相關產品2"
"vq28a_3","請問您使用的網路訂購的旅遊相關產品3"
"vq28a_4","請問您使用的網路訂購的旅遊相關產品4"
"vq28a_5","請問您使用的網路訂購的旅遊相關產品5"
"vq29","請問您這次出國旅遊有沒有使用在旅遊展覽上訂購之旅遊相關產品？"
"vq29a_1","請問您使用的旅遊展覽上的旅遊相關產品1"
"vq29a_2","請問您使用的旅遊展覽上的旅遊相關產品2"
"vq29a_3","請問您使用的旅遊展覽上的旅遊相關產品3"
"vq29a_4","請問您使用的旅遊展覽上的旅遊相關產品4"
"vq30","請問您個人這次出國旅遊的總共花費大概是多少錢?(含補助或招待家人或同行者幫您付的錢但不包含幫同行者支付的部分，也不包含出國前及回國後的個人花費)(第一次出國指付給旅行社、簽證、機票、旅館及在國外所花費的等...)"
"vq30a","vq30a"
"q30","q27出國總花費(差補後)"
"q30a","q27a付旅行社費用(差補後)"
"vq30b","付給旅行社的費用"
"vq30b_1_1","請問主要是哪些項目(出國前)1"
"vq30b_1_2","請問主要是哪些項目(出國前)2"
"vq30b_1_3","請問主要是哪些項目(出國前)3"
"vq30b_1_4","請問主要是哪些項目(出國前)4"
"vq30b_1_5","請問主要是哪些項目(出國前)5"
"vq30c","請問您專門為這次出國旅遊購買屬於個人的旅遊平安險、意外險、醫療險等保險費用共多少錢?"
"vq30d","請問這次出國至機場/港口及回國後由機場/港口返家，您個人在國內的交通費用共多少錢?"
"vq30e","請問這次回國後的個人相關支出(包含相機修理、行李箱修理或洗衣費等因出國回國後所發生的相關支出)?"
"vq30e_1_1","請問主要是哪些項目(回國後)1"
"vq30e_1_2","請問主要是哪些項目(回國後)2"
"vq30e_1_3","請問主要是哪些項目(回國後)3"
"vq30e_1_4","請問主要是哪些項目(回國後)4"
"vq30e_1_5","請問主要是哪些項目(回國後)5"
"vb1","年齡"
"vb2","教育程度"
"vb3","職業"
"vb4","婚姻狀況"
"vb5","個人每月平均所得"
"vb6","居住縣市"
"vb7","受訪者性別"
"w","w國外旅客權數"
