"name","title"
"season","訪問季別"
"vq1","國內旅遊總次數"
"vq1a","當日來回次數"
"vq1b","2天1夜次數"
"vq1c","3天2夜次數"
"vq1d","4天3夜次數"
"vq1e","5天4夜或以上次數"
"vq2","沒有在國內旅遊最主要的原因是？"
"vq2a_1","該季受到新冠肺炎疫情影響而沒有在國內旅遊的原因1"
"vq2a_2","該季受到新冠肺炎疫情影響而沒有在國內旅遊的原因2"
"vq2a_3","該季受到新冠肺炎疫情影響而沒有在國內旅遊的原因3"
"vq2a_4","該季受到新冠肺炎疫情影響而沒有在國內旅遊的原因4"
"vq2a_5","該季受到新冠肺炎疫情影響而沒有在國內旅遊的原因5"
"vq17","請問您對所到過的遊覽地區的整體滿意度是"
"vq17_1_1","請問您對所到過的遊覽地區不滿意的地方1"
"vq17_1_2","請問您對所到過的遊覽地區不滿意的地方2"
"vq17_1_3","請問您對所到過的遊覽地區不滿意的地方3"
"vq17_1_4","請問您對所到過的遊覽地區不滿意的地方4"
"vq17_1_5","請問您對所到過的遊覽地區不滿意的地方5"
"vq17_1_6","請問您對所到過的遊覽地區不滿意的地方6"
"vq17_1_7","請問您對所到過的遊覽地區不滿意的地方7"
"vq17_1_8","請問您對所到過的遊覽地區不滿意的地方8"
"vq17_1_9","請問您對所到過的遊覽地區不滿意的地方9"
"vq17_1_10","請問您對所到過的遊覽地區不滿意的地方10"
"vq17_1_11","請問您對所到過的遊覽地區不滿意的地方11"
"vq17_1_12","請問您對所到過的遊覽地區不滿意的地方12"
"vq17_1_13","請問您對所到過的遊覽地區不滿意的地方13"
"vq17a1_1","1.請問您對這些地方的天然資源維護與自然景觀不滿意的原因1"
"vq17a1_2","1.請問您對這些地方的天然資源維護與自然景觀不滿意的原因2"
"vq17a1_3","1.請問您對這些地方的天然資源維護與自然景觀不滿意的原因3"
"vq17a2_1","2.請問您對這些地方的環境管理與維護不滿意的原因1"
"vq17a2_2","2.請問您對這些地方的環境管理與維護不滿意的原因2"
"vq17a2_3","2.請問您對這些地方的環境管理與維護不滿意的原因3"
"vq17a2_4","2.請問您對這些地方的環境管理與維護不滿意的原因4"
"vq17a3_1","3.請問您對這些地方的工作人員服務態度、專業或效率不滿意的原因1"
"vq17a3_2","3.請問您對這些地方的工作人員服務態度、專業或效率不滿意的原因2"
"vq17a3_3","3.請問您對這些地方的工作人員服務態度、專業或效率不滿意的原因3"
"vq17a3_4","3.請問您對這些地方的工作人員服務態度、專業或效率不滿意的原因4"
"vq17a4_1","4.請問您對這些地方的聯外大眾運輸方便性不滿意的原因1"
"vq17a4_2","4.請問您對這些地方的聯外大眾運輸方便性不滿意的原因2"
"vq17a4_3","4.請問您對這些地方的聯外大眾運輸方便性不滿意的原因3"
"vq17a4_4","4.請問您對這些地方的聯外大眾運輸方便性不滿意的原因4"
"vq17a5_1","5.請問您對這些地方住宿設施不滿意的原因1"
"vq17a5_2","5.請問您對這些地方住宿設施不滿意的原因2"
"vq17a5_3","5.請問您對這些地方住宿設施不滿意的原因3"
"vq17a6_1","6.請問您對這些地方的餐飲設施不滿意的原因1"
"vq17a6_2","6.請問您對這些地方的餐飲設施不滿意的原因2"
"vq17a6_3","6.請問您對這些地方的餐飲設施不滿意的原因3"
"vq17a6_4","6.請問您對這些地方的餐飲設施不滿意的原因4"
"vq17a6_5","6.請問您對這些地方的餐飲設施不滿意的原因5"
"vq17a7_1","7.請問您對這些地方的盥洗室清潔與便利不滿意的原因1"
"vq17a7_2","7.請問您對這些地方的盥洗室清潔與便利不滿意的原因2"
"vq17a7_3","7.請問您對這些地方的盥洗室清潔與便利不滿意的原因3"
"vq17a8_1","8.請問您對這些地方的停車場設施不滿意的原因1"
"vq17a8_2","8.請問您對這些地方的停車場設施不滿意的原因2"
"vq17a8_3","8.請問您對這些地方的停車場設施不滿意的原因3"
"vq17a8_4","8.請問您對這些地方的停車場設施不滿意的原因4"
"vq17a8_5","8.請問您對這些地方的停車場設施不滿意的原因5"
"vq17a9_1","9.請問您對這些地方的遊樂設施不滿意的原因1"
"vq17a9_2","9.請問您對這些地方的遊樂設施不滿意的原因2"
"vq17a9_3","9.請問您對這些地方的遊樂設施不滿意的原因3"
"vq17a10_1","10.請問您對這些地方的門票收費不滿意的原因1"
"vq17a10_2","10.請問您對這些地方的門票收費不滿意的原因2"
"vq17a11_1","11.請問您對這些的地方指示牌清楚性不滿意的原因1"
"vq17a11_2","11.請問您對這些的地方指示牌清楚性不滿意的原因2"
"vq17a11_3","11.請問您對這些的地方指示牌清楚性不滿意的原因3"
"vq17a11_4","11.請問您對這些的地方指示牌清楚性不滿意的原因4"
"vq17a12_1","12.請問您對這些地方的旅遊安全性不滿意的原因1"
"vq17a12_2","12.請問您對這些地方的旅遊安全性不滿意的原因2"
"vq17a13_1","13.請問您對這些地方的交通順暢情形不滿意的原因1"
"vq17a13_2","13.請問您對這些地方的交通順暢情形不滿意的原因2"
"vq18","有沒有受新冠肺炎疫情影響而增加或減少國內旅遊次數"
"vq18a_1","請問您增加國內旅遊次數的原因1"
"vq18a_2","請問您增加國內旅遊次數的原因2"
"vq18a_3","請問您增加國內旅遊次數的原因3"
"vq18a_4","請問您增加國內旅遊次數的原因4"
"vq18a_5","請問您增加國內旅遊次數的原因5"
"vq18b_1","請問您減少國內旅遊次數的原因1"
"vq18b_2","請問您減少國內旅遊次數的原因2"
"vq18b_3","請問您減少國內旅遊次數的原因3"
"vq18b_4","請問您減少國內旅遊次數的原因4"
"vq18b_5","請問您減少國內旅遊次數的原因5"
"vq19","影響出國旅遊意願最主要的原因為？"
"vq20","出國旅遊次數"
