name,title
season,季別
vq22a,這次出國旅遊在國外停留幾天？
vq22b,這次出國旅遊在國外停留幾夜？
vq23,請問您這次出國出境的交通工具為?
vq23a,請問您搭乘的飛機為？
vq24_1,請問您這次出國到過那幾個國家或地區1?
vq24_2,請問您這次出國到過那幾個國家或地區2?
vq24_3,請問您這次出國到過那幾個國家或地區3?
vq24_4,請問您這次出國到過那幾個國家或地區4?
vq24_5,請問您這次出國到過那幾個國家或地區5?
vq24_6,請問您這次出國到過那幾個國家或地區6?
vq24_7,請問您這次出國到過那幾個國家或地區7?
vq24_8,請問您這次出國到過那幾個國家或地區8?
vq24_9,請問您這次出國到過那幾個國家或地區9?
vq24_10,請問您這次出國到過那幾個國家或地區10?
vq25,"請問您這次出國旅遊,最主要的目的是什麼﹖"
vq26a,請問您這次出國旅遊主要是利用哪種假期?
vq26a_1,請問您是利用哪種國定假日？
vq26a_2,請問您是利用哪種平常日?
vq26b,"請問您選擇這次出國旅遊地點,最主要的原因是什麼?"
vq27,請問您這次出國是如何安排？
vq27a_1,請問您這次會選擇該旅行社的原因1?
vq27a_2,請問您這次會選擇該旅行社的原因2?
vq27a_3,請問您這次會選擇該旅行社的原因3?
vq27a_4,請問您這次會選擇該旅行社的原因4?
vq27a_5,請問您這次會選擇該旅行社的原因5?
vq28,請問您這次出國旅遊有沒有使用在網路上訂購旅遊相關產品？
vq28a_1,請問您使用的網路旅遊相關產品1?
vq28a_2,請問您使用的網路旅遊相關產品2?
vq28a_3,請問您使用的網路旅遊相關產品3?
vq28a_4,請問您使用的網路旅遊相關產品4?
vq28a_5,請問您使用的網路旅遊相關產品5?
vq29,請問您這次出國旅遊有沒有使用在旅遊展覽上訂購之旅遊相關產品?
vq29a_1,請問您使用的旅遊展覽相關產品1?
vq29a_2,請問您使用的旅遊展覽相關產品2?
vq29a_3,請問您使用的旅遊展覽相關產品3?
vq29a_4,請問您使用的旅遊展覽相關產品4?
vq30,請問您個人這次出國旅遊的總共花費大概是多少錢?
vq30a,其中付給旅行社的費用大約是多少？
vq30b,請問您這次出國，出發前總共花了多少錢準備個人出國所需的物品?(不包含旅費，指在臺灣購買旅行裝備、衣物、藥品、口罩、送給國外親友的禮品等)
vq30b_1_1,請問主要是哪些項目1
vq30b_1_2,請問主要是哪些項目2
vq30b_1_3,請問主要是哪些項目3
vq30b_1_4,請問主要是哪些項目4
vq30b_1_5,請問主要是哪些項目5
vq30c,請問您專門為這次出國旅遊購買屬於個人的旅遊平安險、意外險、醫療險等保險費用共多少錢?
vq30d,請問這次出國至機場/港口及回國後由機場/港口返家，您個人在國內的交通費用共多少錢?
vq30e,請問您為了這次出國，出發前屬於個人的防疫支出如防疫檢驗、疫苗接種等共多少錢?
vq30f,請問這次回國後的個人相關支出，共花了多少錢?
vq30f_1_1,請問主要是哪些項目1
vq30f_1_2,請問主要是哪些項目2
vq30f_1_3,請問主要是哪些項目3
vq30f_1_4,請問主要是哪些項目4
vq30f_1_5,請問主要是哪些項目5
vq30g,請問您這次回國後的個人返台防疫支出，如檢驗費及防疫旅館費等共多少錢?
vb1,請問您的年齡是
vb2,請問您的教育程度是
vb3,請問您的職業是
vb4,請問您的婚姻狀況是
vb5,請問您個人每月平均所得
vb6,居住縣市
vb7,受訪者性別
weight,weight國內旅客權數
