no,no_outtrip,vCASEID,season,vq22,vq22a,vq23,vq23a,vq24_1,vq24_2,vq24_3,vq24_4,vq24_5,vq24_6,vq24_7,vq24_8,vq24_9,vq24_10,vq25,vq26,vq26a_1,vq26a_2,vq26b,vq27,vq27a_1,vq27a_2,vq27a_3,vq27a_4,vq27a_5,vq28,vq28a_1,vq28a_2,vq28a_3,vq28a_4,vq28a_5,vq29,vq29a_1,vq29a_2,vq29a_3,vq29a_4,vq30,vq30a,vq30b,vq30b_1_1,vq30b_1_2,vq30b_1_3,vq30b_1_4,vq30b_1_5,vq30c,vq30d,vq30e,vq30f,vq30f_1_1,vq30f_1_2,vq30f_1_3,vq30f_1_4,vq30f_1_5,vb1,vb2,vb3,vb4,vb5,vb6,vb7,w
21938,1827,95114199,4,3,2,1,2,6, , , , , , , , , ,1,1,8, ,3,4, , , , , ,1,2,3,4, , ,2,99, , , ,7,1,1, , , , , ,1,6,1,1, , , , , ,6,6,5,2,9,1,2,1.34526936302877
20215,1634,92225483,4,6,5,1,2,12, , , , , , , , , ,1,1,8, ,3,4, , , , , ,1,2,3,6, , ,2,99, , , ,8,1,1, , , , , ,9,8,1,1, , , , , ,4,5,5,1,5,16,2,1.36542012294607
12191,738,93220471,2,6,5,1,1,9, , , , , , , , , ,1,1,8, ,3,1,1, , , , ,1,6, , , , ,2,99, , , ,6,5,1, , , , , ,1,10,1,1, , , , , ,6,5,6,1,9,16,2,.634484529554379
19998,1618,92216559,4,6,5,1,2,9, , , , , , , , , ,1,1,8, ,4,1,1,4, , , ,2, , , , , ,2,99, , , ,5,6,1, , , , , ,9,2,1,1, , , , , ,9,3,11,2,7,20,2,.482932786392672
20534,1672,92238018,4,4,3,1,1,13, , , , , , , , , ,1,1,8, ,1,1,2,3, , , ,2, , , , , ,2,99, , , ,5,6,8,2, , , , ,6,9,1,1, , , , , ,6,6,3,2,8,5,1,2.17057819816189
20981,1718,92259985,4,5,4,1,1,5, , , , , , , , , ,1,1,8, ,7,1,1,2, , , ,2, , , , , ,2,99, , , ,9,8,1, , , , , ,9,9,1,1, , , , , ,8,5,13,2,10,15,1,.688900139437626
24345,2091,95228539,4,2,1,3, ,2, , , , , , , , , ,1,1,7, ,3,4, , , , , ,2, , , , , ,2,99, , , ,1,1,1, , , , , ,1,2,1,1, , , , , ,7,5,6,2,9,21,1,3.71504912926721
22813,1937,95200974,4,3,2,1,2,3, , , , , , , , , ,1,1,7, ,3,4, , , , , ,1,2, , , , ,2,99, , , ,3,1,4,2,5, , , ,1,2,2,2,4, , , , ,6,5,11,2,2,20,2,1.31914877481793
21885,1819,95113429,4,5,4,1,1,4, , , , , , , , , ,1,1,7, ,4,4, , , , , ,1,2,4,6, , ,2,99, , , ,10,1,1, , , , , ,11,6,1,1, , , , , ,7,4,11,2,7,19,2,.563727127872663
18608,1440,92109825,4,5,4,1,1,12, , , , , , , , , ,1,1,7, ,1,4, , , , , ,1,3, , , , ,2,99, , , ,11,1,1, , , , , ,9,1,1,1, , , , , ,9,2,11,2,1,6,2,.360983783423929
20341,1653,92230510,4,8,7,1,1,12, , , , , , , , , ,1,1,7, ,3,4, , , , , ,1,2,3,4,6, ,2,99, , , ,9,1,7,1,3,5, , ,6,3,1,1, , , , , ,6,3,6,1,6,10,2,.992794684229334
20473,1665,92235767,4,4,3,1,1,12, , , , , , , , , ,1,1,7, ,10,4, , , , , ,1,2,3,4,5,6,2,99, , , ,10,1,1, , , , , ,1,8,1,1, , , , , ,10,3,11,2,6,20,2,.834950531761996
21329,1757,95104120,4,5,4,1,1,12, , , , , , , , , ,1,1,7, ,3,4, , , , , ,2, , , , , ,2,99, , , ,7,1,1, , , , , ,8,9,1,1, , , , , ,9,2,11,2,4,16,2,.372229018221227
23453,2015,95211141,4,7,6,1,2,12, , , , , , , , , ,1,1,7, ,3,4, , , , , ,1,2,3,5, , ,2,99, , , ,10,1,1, , , , , ,8,2,1,1, , , , , ,4,6,3,1,7,20,1,1.69691240845751
24184,2077,95224888,4,5,4,1,2,12, , , , , , , , , ,1,1,7, ,3,4, , , , , ,1,2,3,4,7, ,2,99, , , ,12,1,5,2, , , , ,1,10,1,1, , , , , ,5,5,1,1,7,20,1,1.46395615221349
18787,1467,92116356,4,5,4,1,1,13, , , , , , , , , ,1,1,7, ,3,4, , , , , ,1,2,4,6, , ,2,99, , , ,8,1,3,2,3, , , ,9,9,1,1, , , , , ,4,5,3,1,6,1,1,1.34660394512734
19344,1543,92137551,4,6,5,1,2,8, , , , , , , , , ,1,1,7, ,3,3,4, , , , ,2, , , , , ,2,99, , , ,7,2,3,3, , , , ,7,5,1,1, , , , , ,5,5,5,1,8,3,2,1.47645060471897
20082,1628,92219660,4,6,5,1,1,4, , , , , , , , , ,1,1,7, ,5,2,1, , , , ,1,3, , , , ,2,99, , , ,6,6,3,1, , , , ,8,9,1,1, , , , , ,6,4,5,2,6,12,2,.903965606971339
23291,1991,95208391,4,7,6,1,1,12, , , , , , , , , ,1,1,7, ,4,3,1,2,3, , ,2, , , , , ,2,99, , , ,11,6,1, , , , , ,1,1,1,1, , , , , ,3,5,6,1,4,11,1,1.90368409821413
23715,2037,95215601,4,6,5,1,1,12, , , , , , , , , ,1,1,7, ,10,2,3,5, , , ,1,3, , , , ,1,3, , , ,9,6,5,2, , , , ,4,10,1,1, , , , , ,6,6,1,2,8,20,2,.970193842196746
24055,2063,95221862,4,5,4,1,2,13, , , , , , , , , ,1,1,7, ,2,1,3, , , , ,2, , , , , ,2,99, , , ,10,7,1, , , , , ,7,7,1,1, , , , , ,6,4,4,1,7,20,2,.754959227424027
