name,title
no,旅客編號
no_outtrip,出國旅次樣本編號
vCASEID,CASEID
season,訪問季別
vq22,出國停留天數
vq22a,出國停留夜數
vq23,出國出境的交通工具
vq23a,搭乘的飛機
vq24_1,出國國家或地區1
vq24_2,出國國家或地區2
vq24_3,出國國家或地區3
vq24_4,出國國家或地區4
vq24_5,出國國家或地區5
vq24_6,出國國家或地區6
vq24_7,出國國家或地區7
vq24_8,出國國家或地區8
vq24_9,出國國家或地區9
vq24_10,出國國家或地區10
vq25,出國目的
vq26,出國利用假期
vq26a_1,利用何種國定假日
vq26a_2,利用何種平常日
vq26b,選擇這次出國旅遊地點的主要原因
vq27,出國安排
vq27a_1,選擇旅行社的原因1
vq27a_2,選擇旅行社的原因2
vq27a_3,選擇旅行社的原因3
vq27a_4,選擇旅行社的原因4
vq27a_5,選擇旅行社的原因5
vq28,出國旅遊使用在網路上訂購旅遊相關產品情形
vq28a_1,使用的網路旅遊相關產品1
vq28a_2,使用的網路旅遊相關產品2
vq28a_3,使用的網路旅遊相關產品3
vq28a_4,使用的網路旅遊相關產品4
vq28a_5,使用的網路旅遊相關產品5
vq29,出國旅遊使用在旅遊展覽相關產品情形
vq29a_1,使用旅遊展覽的旅遊相關產品1
vq29a_2,使用旅遊展覽的旅遊相關產品2
vq29a_3,使用旅遊展覽的旅遊相關產品3
vq29a_4,使用旅遊展覽的旅遊相關產品4
vq30,出國總花費
vq30a,付給旅行社費用
vq30b,出國出發前總費用
vq30b_1_1,出發前花費的項目1
vq30b_1_2,出發前花費的項目2
vq30b_1_3,出發前花費的項目3
vq30b_1_4,出發前花費的項目4
vq30b_1_5,出發前花費的項目5
vq30c,出國旅遊購買屬於個人的旅遊平安險、意外險、醫療險等保險費用
vq30d,出國至機場/港口及回國後由機場/港口返家，您個人在國內的交通費用共多少錢?
vq30e,出國，出發前屬於個人的防疫支出如防疫檢驗費用
vq30f,請問這次回國後的個人相關支出費用
vq30f_1_1,回國個人相關支出項目1
vq30f_1_2,回國個人相關支出項目2
vq30f_1_3,回國個人相關支出項目3
vq30f_1_4,回國個人相關支出項目4
vq30f_1_5,回國個人相關支出項目5
vb1,性別
vb2,教育程度
vb3,工作別
vb4,婚姻狀況
vb5,個人每月平均所得
vb6,居住縣市
vb7,性別
w,出國樣本旅次權數
