name,title
no,旅客編號
no_trip,旅次編號
vCASEID,CASEID
season,訪問季別
vq3,旅遊月份
vq4_1,旅遊縣市1
vq4_2,旅遊縣市2
vq4_3,旅遊縣市3
vq4_4,旅遊縣市4
vq4_5,旅遊縣市5
vq4_6,旅遊縣市6
vq4_7,旅遊縣市7
vq4_8,旅遊縣市8
vq4_9,旅遊縣市9
vq4_10,旅遊縣市10
vq4_a1_1,新北市旅遊景點1
vq4_a1_2,新北市旅遊景點2
vq4_a1_3,新北市旅遊景點3
vq4_a1_4,新北市旅遊景點4
vq4_a1_5,新北市旅遊景點5
vq4_a1_6,新北市旅遊景點6
vq4_a1_7,新北市旅遊景點7
vq4_a1_8,新北市旅遊景點8
vq4_a1_9,新北市旅遊景點9
vq4_a1_10,新北市旅遊景點10
vq4_a2_1,宜蘭縣旅遊景點1
vq4_a2_2,宜蘭縣旅遊景點2
vq4_a2_3,宜蘭縣旅遊景點3
vq4_a2_4,宜蘭縣旅遊景點4
vq4_a2_5,宜蘭縣旅遊景點5
vq4_a2_6,宜蘭縣旅遊景點6
vq4_a2_7,宜蘭縣旅遊景點7
vq4_a2_8,宜蘭縣旅遊景點8
vq4_a2_9,宜蘭縣旅遊景點9
vq4_a2_10,宜蘭縣旅遊景點10
vq4_a3_1,桃園市旅遊景點1
vq4_a3_2,桃園市旅遊景點2
vq4_a3_3,桃園市旅遊景點3
vq4_a3_4,桃園市旅遊景點4
vq4_a3_5,桃園市旅遊景點5
vq4_a3_6,桃園市旅遊景點6
vq4_a3_7,桃園市旅遊景點7
vq4_a3_8,桃園市旅遊景點8
vq4_a3_9,桃園市旅遊景點9
vq4_a3_10,桃園市旅遊景點10
vq4_a4_1,新竹縣旅遊景點1
vq4_a4_2,新竹縣旅遊景點2
vq4_a4_3,新竹縣旅遊景點3
vq4_a4_4,新竹縣旅遊景點4
vq4_a4_5,新竹縣旅遊景點5
vq4_a4_6,新竹縣旅遊景點6
vq4_a4_7,新竹縣旅遊景點7
vq4_a4_8,新竹縣旅遊景點8
vq4_a4_9,新竹縣旅遊景點9
vq4_a4_10,新竹縣旅遊景點10
vq4_a5_1,苗栗縣旅遊景點1
vq4_a5_2,苗栗縣旅遊景點2
vq4_a5_3,苗栗縣旅遊景點3
vq4_a5_4,苗栗縣旅遊景點4
vq4_a5_5,苗栗縣旅遊景點5
