name,title
no,旅客編號
vcaseid,CASEID
season,訪問季別
vq1,國內旅遊總次數
vq1a,國內旅遊當日來回次數
vq1b,國內旅遊2天1夜次數
vq1c,國內旅遊3天2夜次數
vq1d,國內旅遊4天3夜次數
vq1e,國內旅遊5天4夜或以上次數
vq2,沒有在國內旅遊最主要的原因
vq17,國內旅遊的整體滿意度
vq17_1_1,對旅遊不滿意的地方1
vq17_1_2,對旅遊不滿意的地方2
vq17_1_3,對旅遊不滿意的地方3
vq17_1_4,對旅遊不滿意的地方4
vq17_1_5,對旅遊不滿意的地方5
vq17_1_6,對旅遊不滿意的地方6
vq17_1_7,對旅遊不滿意的地方7
vq17_1_8,對旅遊不滿意的地方8
vq17_1_9,對旅遊不滿意的地方9
vq17_1_10,對旅遊不滿意的地方10
vq17_1_11,對旅遊不滿意的地方11
vq17_1_12,對旅遊不滿意的地方12
vq17_1_13,對旅遊不滿意的地方13
vq17a1_1,對天然資源維護與自然景觀不滿意的原因1
vq17a1_2,對天然資源維護與自然景觀不滿意的原因2
vq17a1_3,對天然資源維護與自然景觀不滿意的原因3
vq17a2_1,對環境管理與維護不滿意的原因1
vq17a2_2,對環境管理與維護不滿意的原因2
vq17a2_3,對環境管理與維護不滿意的原因3
vq17a2_4,對環境管理與維護不滿意的原因4
vq17a3_1,對工作人員服務態度、專業或效率不滿意的原因1
vq17a3_2,對工作人員服務態度、專業或效率不滿意的原因2
vq17a3_3,對工作人員服務態度、專業或效率不滿意的原因3
vq17a3_4,對工作人員服務態度、專業或效率不滿意的原因4
vq17a4_1,對聯外大眾運輸方便性不滿意的原因1
vq17a4_2,對聯外大眾運輸方便性不滿意的原因2
vq17a4_3,對聯外大眾運輸方便性不滿意的原因3
vq17a4_4,對聯外大眾運輸方便性不滿意的原因4
vq17a5_1,對住宿設施不滿意的原因1
vq17a5_2,對住宿設施不滿意的原因2
vq17a5_3,對住宿設施不滿意的原因3
vq17a6_1,對餐飲設施不滿意的原因1
vq17a6_2,對餐飲設施不滿意的原因2
vq17a6_3,對餐飲設施不滿意的原因3
vq17a6_4,對餐飲設施不滿意的原因4
vq17a6_5,對餐飲設施不滿意的原因5
vq17a7_1,對盥洗室清潔與便利不滿意的原因1
vq17a7_2,對盥洗室清潔與便利不滿意的原因2
vq17a7_3,對盥洗室清潔與便利不滿意的原因3
vq17a8_1,對停車場設施不滿意的原因1
vq17a8_2,對停車場設施不滿意的原因2
vq17a8_3,對停車場設施不滿意的原因3
vq17a8_4,對停車場設施不滿意的原因4
vq17a8_5,對停車場設施不滿意的原因5
vq17a9_1,對遊樂設施不滿意的原因1
vq17a9_2,對遊樂設施不滿意的原因2
vq17a9_3,對遊樂設施不滿意的原因3
vq17a10_1,對門票收費不滿意的原因1
vq17a10_2,對門票收費不滿意的原因2
vq17a11_1,對指示牌清楚性不滿意的原因1
vq17a11_2,對指示牌清楚性不滿意的原因2
vq17a11_3,對指示牌清楚性不滿意的原因3
vq17a11_4,對指示牌清楚性不滿意的原因4
vq17a12_1,旅遊安全性不滿意的原因1
vq17a12_2,旅遊安全性不滿意的原因2
vq17a13_1,交通順暢情形不滿意的原因1
vq17a13_2,交通順暢情形不滿意的原因2
vq18,有沒有因為疫情趨緩，生活解封後而增加或減少國內旅遊次數?
vq18a_1,增加國內旅遊次數的原因1
vq18a_2,增加國內旅遊次數的原因2
vq18a_3,增加國內旅遊次數的原因3
vq18a_4,增加國內旅遊次數的原因4
vq18a_5,增加國內旅遊次數的原因5
vq18b_1,減少國內旅遊次數的原因1
vq18b_2,減少國內旅遊次數的原因2
vq18b_3,減少國內旅遊次數的原因3
vq18b_4,減少國內旅遊次數的原因4
vq18b_5,減少國內旅遊次數的原因5
vq18_1,跟109年疫情未發生之前比，本季國內旅遊安排有沒有改變
vq18_1a_1,國內旅遊安排的改變1
vq18_1a_2,國內旅遊安排的改變2
vq18_1a_3,國內旅遊安排的改變3
vq18_1a_4,國內旅遊安排的改變4
vq18_1a_5,國內旅遊安排的改變5
vq18_1a_6,國內旅遊安排的改變6
vq19,影響出國旅遊意願最主要的原因
vq20,各季出國旅遊次數
vq20_1,跟109年疫情未發生之前比，本季出國旅遊安排有沒有改變
vq20_1_1,出國旅遊安排的改變1
vq20_1_2,出國旅遊安排的改變2
vq20_1_3,出國旅遊安排的改變3
vq20_1_4,出國旅遊安排的改變4
vq20_1_5,出國旅遊安排的改變5
vq20_1_6,出國旅遊安排的改變6
vq21,本季有沒有因為出國旅遊而減少國內旅遊次數？
vb1,年齡
vb2,教育程度
vb3,職業
vb4,婚姻狀況
vb5,個人每月平均所得
vb6,居住的縣市
vb7,性別
q32,全年國內旅遊率
q33,全年出國旅遊率
weight,國內旅客權數
