年度,1-12歲,13-19歲,20-29歲,30-39歲,40-49歲,50-59歲,60歲以上,小計
104,706126,434938,1715160,2904411,2575250,2298287,1719116,12353288
105,847251,487927,1937460,3055405,2826384,2453555,1931085,13539067
106,945734,515917,2021676,3089958,2982953,2568100,2129424,14253762
107,1025364,563783,2145639,3199396,3173329,2713883,2331153,15152547
108,1051179,572562,2225007,3197058,3291403,2842284,2577980,15757473
109,182035,110401,317819,404784,447755,328204,247524,2038522
110,12185,5105,35632,46555,55841,47142,30276,232736
111,66690,26359,179358,273650,251885,190477,149443,1137862
112,777869,411958,1538250,2175738,2210307,1801243,1836949,10752314
113,1166092,630579,2208744,3037145,3157145,2613947,2872347,15685999
總計,6780525,3759529,14324745,21384100,20972252,17857122,15825297,100903570
