年度,月份,男,女
103,1,"402,307","389,185"
103,2,"506,476","400,007"
103,3,"433,882","386,503"
103,4,"491,782","438,842"
103,5,"510,759","471,636"
103,6,"527,482","486,582"
103,7,"555,951","529,857"
103,8,"518,345","471,351"
103,9,"475,134","422,434"
103,10,"522,182","468,017"
103,11,"442,102","391,350"
103,12,"456,297","397,201"
104,1,"456,569","401,149"
104,2,"485,163","465,576"
104,3,"534,609","476,342"
104,4,"551,022","525,788"
104,5,"560,483","522,983"
104,6,"560,407","529,813"
104,7,"597,439","578,347"
104,8,"559,509","521,063"
104,9,"508,483","490,136"
104,10,"579,030","536,243"
104,11,"516,298","469,765"
104,12,"480,384","446,687"
105,1,"512,077","496,964"
105,2,"600,177","562,218"
105,3,"522,896","506,145"
105,4,"591,354","580,597"
105,5,"589,383","568,989"
105,6,"626,705","648,889"
105,7,"640,823","651,188"
105,8,"594,701","566,799"
105,9,"562,942","567,158"
105,10,"579,973","559,363"
105,11,"529,083","491,298"
105,12,"505,238","484,107"
106,1,"511,467","528,338"
106,2,"618,269","568,991"
106,3,"557,891","550,777"
106,4,"610,348","607,195"
106,5,"620,086","617,828"
106,6,"632,166","640,142"
106,7,"673,063","682,262"
106,8,"628,498","613,232"
106,9,"552,252","542,827"
106,10,"644,315","640,734"
106,11,"579,777","569,625"
106,12,"536,095","527,584"
107,1,"561,234","537,658"
107,2,"603,479","604,841"
107,3,"623,013","629,949"
107,4,"674,391","703,592"
107,5,"653,958","651,196"
107,6,"675,737","703,018"
107,7,"712,612","725,238"
107,8,"667,185","659,371"
107,9,"569,531","574,135"
107,10,"643,064","630,940"
107,11,"588,623","590,976"
107,12,"582,142","586,664"
108,1,"591,543","600,077"
108,2,"691,755","676,256"
108,3,"623,150","654,585"
108,4,"643,128","664,884"
108,5,"660,159","680,390"
108,6,"698,087","747,993"
108,7,"721,474","745,593"
108,8,"677,161","690,411"
108,9,"618,391","629,599"
108,10,"682,344","717,395"
108,11,"607,687","633,215"
108,12,"554,941","547,255"
109,1,"628,871","646,073"
109,2,"256,657","260,854"
109,3,"48,730","30,535"
109,4,"6,487","3,607"
109,5,"9,733","5,437"
109,6,"8,486","4,958"
109,7,"13,599","7,913"
109,8,"16,685","10,437"
109,9,"14,383","8,549"
109,10,"16,344","7,828"
109,11,"12,008","5,921"
109,12,"8,817","5,610"
110,1,"6,926","5,387"
110,2,"22,741","8,470"
110,3,"19,491","8,333"
110,4,"13,348","6,243"
110,5,"9,910","6,274"
110,6,"9,761","8,809"
110,7,"10,412","8,460"
110,8,"10,544","7,938"
110,9,"10,753","7,036"
110,10,"11,897","6,114"
110,11,"10,357","5,727"
110,12,"10,201","7,604"
111,1,"8,376","7,370"
111,2,"34,575","15,420"
111,3,"20,542","12,299"
111,4,"16,602","11,054"
111,5,"15,684","12,318"
111,6,"21,424","19,249"
111,7,"35,040","34,129"
111,8,"43,540","40,339"
111,9,"47,032","41,406"
111,10,"70,303","64,744"
111,11,"112,010","117,786"
111,12,"155,141","181,479"
112,1,"280,864","326,919"
112,2,"291,961","299,332"
112,3,"310,104","351,181"
112,4,"360,445","394,907"
112,5,"380,230","410,374"
112,6,"472,341","549,335"
112,7,"532,213","596,672"
112,8,"513,481","570,005"
112,9,"455,900","524,914"
112,10,"530,917","595,889"
112,11,"474,984","544,672"
112,12,"459,814","524,860"
113,1,"556,996","627,782"
113,2,"621,891","670,933"
113,3,"559,672","672,637"
113,4,"581,711","673,293"
113,5,"583,065","678,294"
113,6,"667,528","786,637"
113,7,"680,382","780,354"
113,8,"675,574","765,470"
113,9,"586,797","681,090"
113,10,"606,953","709,389"
113,11,"583,690","691,261"
113,12,"576,947","667,653"
114,1,"692,598","803,982"
總計,,56380931,57114883
