"中文船名","英文船名","船舶總噸","船長","吃水","預定靠泊船席","預定到港日期","預定到港時間","預定出港日期","預定出港時間","港口代理","備註"
"探索星號","STAR NAVIGATOR","75338.00","269.00","8.50","KELW003X  (西03)","2025/03/28","11:00:00","2025/03/28","21:00:00","新鋒船務代理有限公司",""
"地中海榮耀號","MSC BELLISSIMA","171598.00","316.00","8.50","KELW003X  (西03)","2025/03/29","07:00:00","2025/03/29","18:00:00","台正船務代理有限公司",""
"探索星號","STAR NAVIGATOR","75338.00","269.00","8.50","KELW003X  (西03)","2025/03/30","11:00:00","2025/03/30","17:00:00","新鋒船務代理有限公司",""
"歌詩達莎倫娜","COSTA SERENA","114261.00","289.59","8.30","KELE002X  (東02)","2025/03/31","08:00:00","2025/03/31","16:00:00","新鋒船務代理有限公司",""
"探索星號","STAR NAVIGATOR","75338.00","269.00","8.50","KELW003X  (西03)","2025/04/04","15:00:00","2025/04/04","21:00:00","新鋒船務代理有限公司",""
"歌詩達莎倫娜","COSTA SERENA","114261.00","289.59","8.30","KELE002X  (東02)","2025/04/05","08:00:00","2025/04/05","16:00:00","新鋒船務代理有限公司",""
"維京金星號","Viking Venus","47842.00","228.20","6.50","KELW003X  (西03)","2025/04/06","08:00:00","2025/04/06","16:00:00","台正船務代理有限公司",""
"探索星號","STAR NAVIGATOR","75338.00","269.00","8.50","KELE002X  (東02)","2025/04/06","11:00:00","2025/04/06","17:00:00","新鋒船務代理有限公司",""
"邁希夫6號","MEIN SCHIFF 6","98811.00","295.17","8.25","KELW003X  (西03)","2025/04/07","07:00:00","2025/04/07","20:00:00","台正船務代理有限公司",""
"歌詩達莎倫娜","COSTA SERENA","114261.00","289.59","8.30","KELE002X  (東02)","2025/04/08","08:00:00","2025/04/08","16:00:00","新鋒船務代理有限公司",""
"歌詩達莎倫娜","COSTA SERENA","114261.00","289.59","8.30","KELE002X  (東02)","2025/04/11","08:00:00","2025/04/11","16:00:00","新鋒船務代理有限公司",""
"探索星號","STAR NAVIGATOR","75338.00","269.00","8.50","KELW003X  (西03)","2025/04/11","15:00:00","2025/04/11","21:00:00","新鋒船務代理有限公司",""
"邁希夫6號","MEIN SCHIFF 6","98811.00","295.17","8.25","KELW003X  (西03)","2025/04/12","07:00:00","2025/04/12","20:00:00","台正船務代理有限公司",""
"探索星號","STAR NAVIGATOR","75338.00","269.00","8.50","KELW003X  (西03)","2025/04/13","11:00:00","2025/04/13","17:00:00","新鋒船務代理有限公司",""
"英希格","INSIGNIA","30277.00","180.50","6.00","KELE002X  (東02)","2025/04/14","06:00:00","2025/04/14","18:00:00","台正船務代理有限公司",""
"歌詩達莎倫娜","COSTA SERENA","114261.00","289.59","8.30","KELW003X  (西03)","2025/04/14","08:00:00","2025/04/14","16:00:00","新鋒船務代理有限公司",""
"銀葉號","SILVER WHISPER","28258.00","186.00","7.00","KELE002X  (東02)","2025/04/15","08:00:00","2025/04/15","18:00:00","台正船務代理有限公司",""
"探索星號","STAR NAVIGATOR","75338.00","269.00","8.50","KELW003X  (西03)","2025/04/16","11:00:00","2025/04/16","21:00:00","新鋒船務代理有限公司",""
"星凝天蝕2號","SCENIC ECLIPSE Ⅱ","17592.00","168.00","5.60","KELE002X  (東02)","2025/04/18","08:00:00","2025/04/18","18:00:00","太隆船務代理有限公司",""
"探索星號","STAR NAVIGATOR","75338.00","269.00","8.50","KELW003X  (西03)","2025/04/18","11:00:00","2025/04/18","21:00:00","新鋒船務代理有限公司",""
