城市,年份,月份,平均氣溫 (°C),降水量 (mm)
札幌,2021,1,-3.6,56.0
札幌,2021,2,-2.2,46.5
札幌,2021,3,1.0,78.0
札幌,2021,4,7.5,62.0
札幌,2021,5,13.0,51.0
札幌,2021,6,17.5,50.0
札幌,2021,7,21.5,75.0
札幌,2021,8,23.0,110.0
札幌,2021,9,18.0,110.0
札幌,2021,10,11.0,110.0
札幌,2021,11,4.0,110.0
札幌,2021,12,-1.8,138.0
東京,2021,1,7.5,35.0
東京,2021,2,6.9,39.5
東京,2021,3,10.0,117.5
東京,2021,4,15.0,125.0
東京,2021,5,20.0,137.0
東京,2021,6,23.5,160.0
東京,2021,7,27.0,150.0
東京,2021,8,29.0,168.0
東京,2021,9,25.0,209.0
東京,2021,10,19.0,197.0
東京,2021,11,13.0,92.0
東京,2021,12,7.0,138.0
大阪,2021,1,6.0,45.0
大阪,2021,2,7.0,60.0
大阪,2021,3,11.0,110.0
大阪,2021,4,16.0,120.0
大阪,2021,5,21.0,130.0
大阪,2021,6,25.0,180.0
大阪,2021,7,28.0,160.0
大阪,2021,8,30.0,150.0
大阪,2021,9,26.0,200.0
大阪,2021,10,20.0,100.0
大阪,2021,11,14.0,80.0
大阪,2021,12,8.0,60.0
那霸,2021,1,17.0,100.0
那霸,2021,2,18.0,120.0
那霸,2021,3,20.0,150.0
那霸,2021,4,23.0,200.0
那霸,2021,5,26.0,250.0
那霸,2021,6,28.0,300.0
那霸,2021,7,30.0,200.0
那霸,2021,8,30.0,250.0
那霸,2021,9,29.0,300.0
那霸,2021,10,26.0,200.0
那霸,2021,11,23.0,150.0
那霸,2021,12,19.0,100.0
札幌,2022,1,-3.2,56.0
札幌,2022,2,-2.2,46.5
札幌,2022,3,2.6,78.0
札幌,2022,4,9.1,62.0
札幌,2022,5,14.9,51.0
札幌,2022,6,16.8,50.0
札幌,2022,7,23.1,75.0
札幌,2022,8,22.7,110.0
札幌,2022,9,19.8,110.0
札幌,2022,10,12.6,110.0
札幌,2022,11,7.1,110.0
札幌,2022,12,-1.4,138.0
東京,2022,1,4.9,35.0
東京,2022,2,5.2,39.5
東京,2022,3,10.9,117.5
東京,2022,4,15.3,125.0
東京,2022,5,18.8,137.0
東京,2022,6,23.0,160.0
東京,2022,7,27.4,150.0
東京,2022,8,27.5,168.0
東京,2022,9,24.4,209.0
東京,2022,10,17.2,197.0
東京,2022,11,14.5,92.0
東京,2022,12,7.5,138.0
大阪,2022,1,5.6,45.0
大阪,2022,2,5.5,60.0
大阪,2022,3,11.4,110.0
大阪,2022,4,16.8,120.0
大阪,2022,5,20.0,130.0
大阪,2022,6,24.4,180.0
大阪,2022,7,28.4,160.0
大阪,2022,8,29.5,150.0
大阪,2022,9,26.2,200.0
大阪,2022,10,19.0,100.0
大阪,2022,11,15.2,80.0
大阪,2022,12,7.9,60.0
那霸,2022,1,17.7,100.0
那霸,2022,2,17.2,120.0
那霸,2022,3,20.4,150.0
那霸,2022,4,22.7,200.0
那霸,2022,5,23.5,250.0
那霸,2022,6,27.0,300.0
那霸,2022,7,29.4,200.0
那霸,2022,8,29.9,250.0
那霸,2022,9,28.3,300.0
那霸,2022,10,26.0,200.0
那霸,2022,11,23.6,150.0
那霸,2022,12,18.6,100.0
札幌,2023,1,-3.2,170.0
札幌,2023,2,-2.2,112.0
札幌,2023,3,2.6,54.5
札幌,2023,4,9.1,15.0
札幌,2023,5,14.9,66.5
札幌,2023,6,16.8,71.0
札幌,2023,7,23.1,63.0
札幌,2023,8,22.7,233.0
札幌,2023,9,19.8,87.5
札幌,2023,10,12.6,80.0
札幌,2023,11,7.1,82.5
札幌,2023,12,-1.4,119.0
東京,2023,1,4.9,22.5
東京,2023,2,5.2,71.0
東京,2023,3,10.9,110.5
東京,2023,4,15.3,224.5
東京,2023,5,18.8,198.0
東京,2023,6,23.0,64.0
