年度,居住地,細分,合計,飛機小計,飛機松山,飛機桃園,飛機臺中,飛機高雄,飛機其他,輪船小計,輪船基隆,輪船臺中,輪船高雄,輪船其他
102,亞洲地區,日本 Japan,"1,421,550","1,418,087","406,430","986,819",537,"24,289",12,"3,463",69,12,"1,793","1,589"
102,亞洲地區,韓國 Korea,"351,301","350,005","44,053","295,935",451,"9,564",2,"1,296",6,19,204,"1,067"
102,亞洲地區,香港.澳門 Hong Kong.Macao,"1,183,341","1,170,047","3,778","864,540",95699,"10,716","4,214","13,294","2,740",57,"3,738","6,759"
102,亞洲地區,中國大陸 China,"2,874,702","2,597,796","221,581","1,975,449","85,589","273,191","41,986","276,906","44,610","41,136","13,329","177,831"
102,亞洲地區,東南亞地區 越南 Vietnam,"118,467","116,627",73,"87,850","2,823","25,879",2,"1,840",16,5,"1,780",39
102,亞洲地區,東南亞地區 泰國 Thailand,"104,138","104,024",202,"96,334",76,"7,406",6,114,24,0,21,69
102,亞洲地區,東南亞地區 馬來西亞 Malaysia,"394,326","390,939","1,485","381,340",424,"7,669",21,"3,387",56,8,96,"3,227"
102,亞洲地區,東南亞地區 新加坡 Singapore,"364,733","361,318","2,585","345,986",293,"12,438",16,"3,415",9,19,554,"2,833"
102,亞洲地區,東南亞地區 菲律賓 Philippines,"99,698","93,605",184,"81,203",117,"12,099",2,"6,093",54,260,"5,231",548
102,亞洲地區,東南亞地區 印尼 Indonesia,"171,299","163,222",340,"139,645",162,"23,045",30,"8,077",53,55,"5,571","2,398"
102,亞洲地區,東南亞地區 東南亞其他地區 Others,"8,935","8,406",39,"7,554",15,798,0,529,6,50,430,43
102,亞洲地區,東南亞地區 東南亞小計 Sub-Total,"1,261,596","1,238,141","4,908","1,139,912","3,910","89,334",77,"23,455",218,397,"13,683","9,157"
102,亞洲地區,印度 India,"23,318","22,443",180,"19,494",144,"2,621",4,875,2,47,634,192
102,亞洲地區,中東 Middle East,"13,918","13,810",315,"12,626",54,814,1,108,1,10,58,39
102,亞洲地區,亞洲其他 Others,"9,060","8,913",140,"8,167",17,586,3,147,0,6,123,18
102,亞洲地區,亞洲合計 Total,"7,138,786","6,819,242","681,385","5,302,942","186,401","602,215","46,299","319,544","47,646","41,684","33,562","196,652"
102,非洲地區,南非 S. Africa,"4,164","4,152",87,"3,605",54,400,6,12,1,0,2,9
102,非洲地區,非洲其他 Others,"4,631","4,569",59,"4,071",50,389,0,62,1,5,54,2
102,非洲地區,非洲合計 Total,"8,795","8,721",146,"7,676",104,789,6,74,2,5,56,11
102,美洲地區,美國 USA,"414,060","411,694","18,730","373,780","1,145","17,904",135,"2,366",47,73,222,113
102,美洲地區,加拿大 Canada,"72,693","71,900","2,420","62,041",665,"6,606",168,793,8,9,278,498
102,美洲地區,墨西哥 Mexico,"2,295","2,285",64,"2,061",10,150,0,10,6,0,3,1
102,美洲地區,阿根廷 Argentina,"1,124","1,114",33,983,7,91,0,10,0,2,2,6
102,美洲地區,巴西 Brazil,"3,940","3,925",163,"3,407",40,311,4,15,2,0,9,4
102,美洲地區,美洲其他 Others,"8,334","8,290",220,"7,645",17,408,0,44,3,2,18,21
102,美洲地區,美洲合計 Total,"502,446","499,208","21,630","449,917","1,884","25,470",307,"3,238",66,86,532,"2,554"
102,大洋洲地區,澳洲 Australia,"65,777","65,232","1,674","56,853",493,"6,110",102,545,1,9,122,413
102,大洋洲地區,紐西蘭 New Zealand,"10,694","10,597",304,"9,057",86,"1,131",19,97,1,3,24,69
102,大洋洲地區,大洋洲其他 Others,"1,251","1,216",47,"1,004",3,162,0,35,0,0,31,4
102,大洋洲地區,大洋洲合計 Total,"77,722","77,045",114,"66,914",582,"7,403",121,677,2,12,177,486
