年度,居住地,細分,合計,商人,秘書職員,專門技術,文化工作,家庭主婦,軍公職,其他,未列明
102,亞洲地區,日本 Japan,"1,421,550","130,316","561,045","41,424","156,941","159,837","22,055","94,276","255,656"
102,亞洲地區,韓國 Korea,"351,301","60,796","43,506","17,523","62,320","38,262","12,088","32,805","84,001"
102,亞洲地區,香港.澳門 Hong Kong.Macao,"1,183,341","88,758","29,622","11,635","32,163","29,356","1,875","79,274","910,658"
102,亞洲地區,中國大陸 China,"2,874,702","1,095,270","11,752","39,787","200,379","726,326","11,671","505,391","284,126"
102,亞洲地區,東南亞地區 越南 Vietnam,"118,467","3,579","2,036","4,843","5,098","15,202",908,"35,447","51,354"
102,亞洲地區,東南亞地區 泰國 Thailand,"104,138","14,305","24,662","2,925","7,611","6,341","1,923","28,062","18,309"
102,亞洲地區,東南亞地區 馬來西亞 Malaysia,"394,326","85,803","32,167","19,119","72,666","47,818","1,547","51,299","83,907"
102,亞洲地區,東南亞地區 新加坡 Singapore,"364,733","86,220","30,495","25,625","63,363","33,025","13,075","58,861","54,069"
102,亞洲地區,東南亞地區 菲律賓 Philippines,"99,698","10,940","5,467","18,059","6,329","6,314",228,"45,946","6,415"
102,亞洲地區,東南亞地區 印尼 Indonesia,"171,299","10,200","9,076","11,624","11,578","12,357",496,"51,175","64,793"
102,亞洲地區,東南亞地區 東南亞其他地區 Others,"8,935","1,435",393,"1,065",964,853,92,"1,967","2,166"
102,亞洲地區,東南亞地區 東南亞小計 Sub-Total,"1,261,596","212,482","104,296","83,260","167,609","121,910","18,269","272,757","281,013"
102,亞洲地區,印度 India,"23,318","6,175","1,383","4,553","2,391",985,70,"5,683","2,078"
102,亞洲地區,中東 Middle East,"13,918","3,371",581,"2,833","1,176",316,86,"2,501","3,054"
102,亞洲地區,亞洲其他 Others,"9,060","1,740",274,448,"2,401",377,119,"1,769","1,932"
102,亞洲地區,亞洲合計 Total,"7,138,786","1,598,908","752,459","10,363","625,380","1,077,369","66,233","994,456","1,822,518"
102,非洲地區,南非 S. Africa,"4,164",899,205,218,"1,411",277,17,743,394
102,非洲地區,非洲其他 Others,"4,631","1,031",158,410,778,137,153,905,"1,059"
102,非洲地區,非洲合計 Total,"8,795","1,930",363,628,"2,189",414,170,"1,648","1,453"
102,美洲地區,美國 USA,"414,060","73,865","25,434","56,364","68,848","36,691","1,361","70,064","81,433"
102,美洲地區,加拿大 Canada,"72,693","11,628","6,145","4,866","12,835","9,973",300,"13,579","13,367"
102,美洲地區,墨西哥 Mexico,"2,295",437,250,350,496,120,14,397,231
102,美洲地區,阿根廷 Argentina,"1,124",128,110,73,211,31,3,368,200
102,美洲地區,巴西 Brazil,"3,940",791,129,580,558,137,43,955,747
102,美洲地區,美洲其他 Others,"8,334","1,076",425,836,"2,501",259,189,"1,961","1,087"
102,美洲地區,美洲合計 Total,"502,446","87,925","32,493","63,069","85,449","47,211","1,910","87,324","97,065"
102,大洋洲地區,澳洲 Australia,"65,777","12,671","6,208","4,492","10,198","7,693",539,"15,659","8,317"
102,大洋洲地區,紐西蘭 New Zealand,"10,694","2,083",775,668,"2,182","1,140",67,"2,313","1,466"
102,大洋洲地區,大洋洲其他 Others,"1,251",185,81,70,201,107,85,325,197
102,大洋洲地區,大洋洲合計 Total,"77,722","14,939","7,064","5,230","12,581","8,940",691,"18,297","9,980"
102,歐洲地區,比利時 Belgium,"4,756",971,497,671,624,173,56,758,"1,006"
102,歐洲地區,法國 France,"32,384","5,652","1,819","3,577","4,840","1,338",100,"5,931","9,127"
102,歐洲地區,德國 Germany,"46,533","8,606","2,387","7,291","6,103","1,169",169,"7,846","12,962"
102,歐洲地區,義大利 Italy,"13,663","3,547","1,413","1,782","1,528",254,42,"2,223","2,874"
102,歐洲地區,荷蘭 Netherlands,"16,443","3,905",886,"2,078","2,265",681,109,"3,165","3,354"
102,歐洲地區,英國 U.K.,"42,438","10,341","3,900","4,975","6,607","3,246",312,"8,339","4,718"
102,歐洲地區,西班牙 Spain,"7,128","1,282",344,"1,168","1,367",174,33,"1,397","1,363"
102,歐洲地區,瑞典 Sweden,"7,136","1,741",386,"1,057","1,208",248,17,"1,287","1,192"
102,歐洲地區,瑞士 Switzerland,"8,030","1,814",678,"1,136","1,012",297,28,"1,591","1,474"
102,歐洲地區,奧地利 Austria,"5,350",968,303,563,861,214,20,956,"1,465"
102,歐洲地區,希臘 Greece,"1,167",156,73,316,73,17,7,226,299
102,歐洲地區,俄羅斯 Russian Federation,"7,226","1,778",194,739,853,139,10,"1,083","2,430"
102,歐洲地區,歐洲其他 Others,"30,808","5,191","2,051","4,161","5,114",939,319,"5,690","7,343"
102,歐洲地區,歐洲合計 Total,"223,062","45,952","14,931","29,514","32,455","8,889","1,222","40,492","49,607"
102,全區,其他 Others,"65,469",85,22,13,144,94,2,299,"64,810"
102,全區,總計 Grand Total,"8,016,280","1,749,739","807,332","299,917","758,198","1,142,917","70,228","1,142,516","2,045,433"
103,亞洲地區,日本 Japan,"1,634,790","113,091","631,269","38,448","183,973","161,461","26,181","96,934","383,433"
103,亞洲地區,韓國 Korea,"527,684","71,095","67,703","25,643","95,270","55,773","15,703","45,447","151,050"
103,亞洲地區,香港.澳門 Hong Kong.Macao,"1,375,770","99,564","21,877","29,684","53,832","54,864","4,783","91,780","1,019,386"
103,亞洲地區,中國大陸 China,"3,987,152","731,225","6,355","686,836","44,328","470,028","10,257","189,050","1,849,073"
103,亞洲地區,東南亞地區 越南 Vietnam,"137,177","3,881","2,426","3,968","2,086","6,669",818,"8,960","108,369"
103,亞洲地區,東南亞地區 泰國 Thailand,"104,812","11,357","23,723","2,767","6,552","3,818","1,858","5,626","49,111"
103,亞洲地區,東南亞地區 馬來西亞 Malaysia,"439,240","79,650","34,300","16,377","62,158","48,795","1,855","51,233","144,872"
