年度,類型,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,合計
101,"國家風景區
National Scenic Areas","4,176,804","3,984,873","3,642,768","3,882,085","4,133,778","3,461,055","6,439,109","4,643,676","3,771,762","3,878,983","3,524,158","3,424,047","48,963,098"
101,"國家公園
National Parks","1,374,289","1,639,471","2,047,597","1,639,095","1,556,357","1,249,460","1,810,005","1,372,258","1,188,815","1,547,304","1,563,867","1,478,569","18,467,087"
101,"公營觀光區
Government Sites","7,262,175","12,972,005","6,192,405","7,300,511","6,567,775","5,718,334","8,775,264","8,146,144","6,837,109","8,749,738","7,110,457","7,544,049","93,175,966"
101,"縣級風景特定區
County Scenic Areas","827,404","660,743","685,827","836,019","756,685","775,544","1,671,835","1,510,812","1,241,303","1,157,749","1,004,855","866,676","11,995,452"
101,"森林遊樂區
Forest Recreation Areas","491,447","548,676","641,883","548,244","456,287","299,624","712,839","270,282","341,309","513,360","532,204","515,543","5,871,698"
101,"海水浴場
Swimming Beaches","32,155","31,268","40,414","47,281","187,299","150,717","974,314","73,545","57,977","52,626","44,473","138,226","1,830,295"
101,"民營觀光區
Private Sites","1,349,078","1,140,464","1,036,475","1,357,197","1,070,080","969,924","1,740,755","1,629,815","1,058,746","1,253,524","1,063,996","1,088,143","14,758,197"
101,"寺廟
Temples","8,083,638","8,786,137","8,845,592","9,397,004","5,503,040","3,940,980","4,242,755","3,248,701","3,225,824","2,407,567","2,400,938","2,257,768","62,339,944"
101,"古蹟、歷史建物
Historic Sites","1,242,054","1,261,000","918,865","902,238","764,843","752,166","860,257","907,678","710,331","897,455","864,484","970,785","11,052,156"
101,"其他
Others","2,550,254","1,384,397","1,263,333","1,197,509","1,196,869","979,031","1,055,110","1,026,671","954,138","1,384,741","1,072,442","1,226,564","15,291,059"
101,"重複遊憩區遊客數
Total lexcluding duplicate counting","776,327","830,896","802,343","763,124","714,686","545,596","1,813,147","644,385","542,530","648,190","627,115","644,299","9,352,638"
101,"總計
Total","26,612,971","31,578,138","24,512,816","26,344,059","21,478,327","17,751,239","26,469,096","22,185,197","18,844,784","21,194,857","18,554,759","18,866,071","274,392,314"
102,"國家公園
National Parks","1,069,493","2,178,858","1,896,643","1,605,457","1,339,275","1,371,790","1,554,664","1,474,224","1,161,723","1,453,809","1,330,086","1,065,184","17,501,206"
102,"國家級風景特定區
National Scenic Areas","2,650,973","4,887,682","3,046,061","3,394,465","3,321,346","3,916,703","4,148,789","3,288,887","2,976,704","2,922,275","2,943,691","2,598,183","40,095,759"
102,"直轄市及縣(市)級風景特定區
Municipal-level and County-level Scenic Area","946,104","1,385,014","1,059,529","1,345,783","1,197,271","1,197,458","1,554,356","1,628,420","1,209,312","1,196,962","1,235,241","1,217,207","15,172,657"
102,"森林遊樂區
Forest Recreation Areas","337,805","559,833","534,622","458,574","359,344","468,010","511,746","471,738","396,657","469,665","577,618","518,731","5,664,343"
102,"休閒農業區及休閒農場
Leisure Agriculture Areas and Leisure Farm","263,240","555,474","141,710","152,788","115,681","135,401","176,393","153,623","102,512","183,931","153,904","114,985","2,249,642"
102,"觀光地區
Tourist Areas","389,007","808,284","426,988","506,474","405,051","433,915","647,477","671,816","448,443","410,387","431,635","413,625","5,993,102"
102,"博物館
Museums","2,730,167","3,432,434","3,130,171","3,454,634","3,206,893","3,199,444","3,803,791","4,145,744","2,970,357","3,190,588","3,298,114","3,079,418","39,641,755"
