中文船名,英文船名,船舶總噸,船長,吃水,預定靠泊船席,預定到港日期,預定到港時間,預定出港日期,預定出港時間,港口代理,備註
歌詩達莎倫娜,COSTA SERENA,114261.00,289.59,8.30,KHHX019X  (#19碼頭),2025/03/25,16:00:00,2025/03/25,20:00:00,經偉船務代理股份有限公司高雄分公,
英希格,INSIGNIA,30277.00,180.50,6.00,KHHX019X  (#19碼頭),2025/04/15,10:00:00,2025/04/15,19:00:00,正華船務代理有限公司,
鑽石公主,DIAMOND PRINCESS,115906.00,290.00,8.50,KHHX019X  (#19碼頭),2025/04/30,10:00:00,2025/04/30,19:00:00,香港商伍航亞洲有限公司台灣分公司(,
挪威天空,NORWEGIAN SKY,77104.00,258.60,8.00,KHHX019X  (#19碼頭),2025/05/18,08:00:00,2025/05/18,16:00:00,正華船務代理有限公司,
海洋富士,MITSUI OCEAN FUJI,32477.00,198.20,7.00,KHHX019X  (#19碼頭),2025/07/11,07:00:00,2025/07/11,16:00:00,香港商伍航亞洲有限公司台灣分公司(,
海洋富士,MITSUI OCEAN FUJI,32477.00,198.20,7.00,KHHX019X  (#19碼頭),2025/09/25,08:00:00,2025/09/25,17:00:00,香港商伍航亞洲有限公司台灣分公司(,
歌詩達莎倫娜,COSTA SERENA,114261.00,289.59,8.30,KHHX019X  (#19碼頭),2025/10/09,15:00:00,2025/10/09,20:00:00,經偉船務代理股份有限公司高雄分公,
歌詩達莎倫娜,COSTA SERENA,114261.00,289.59,8.30,KHHX019X  (#19碼頭),2025/10/13,14:00:00,2025/10/13,21:30:00,經偉船務代理股份有限公司高雄分公,
歌詩達莎倫娜,COSTA SERENA,114261.00,289.59,8.30,KHHX019X  (#19碼頭),2025/10/17,14:00:00,2025/10/17,21:30:00,經偉船務代理股份有限公司高雄分公,
里維拉,RIVIERA,66172.00,239.30,7.60,KHHX019X  (#19碼頭),2025/10/20,07:00:00,2025/10/20,16:00:00,正華船務代理有限公司,
歌詩達莎倫娜,COSTA SERENA,114261.00,289.59,8.30,KHHX019X  (#19碼頭),2025/10/21,14:00:00,2025/10/21,18:00:00,經偉船務代理股份有限公司高雄分公,
挪威奮進號,NORWEGIAN SPIRIT,75904.00,268.30,7.90,KHHX019X  (#19碼頭),2025/11/18,08:00:00,2025/11/18,18:00:00,正華船務代理有限公司,
挪威奮進號,NORWEGIAN SPIRIT,75904.00,268.30,7.90,KHHX019X  (#19碼頭),2025/11/20,08:00:00,2025/11/20,16:00:00,正華船務代理有限公司,
挪威太陽,NORWEGIAN SUN,78309.00,258.60,8.00,KHHX019X  (#19碼頭),2025/12/02,07:00:00,2025/12/02,16:00:00,正華船務代理有限公司,
海洋富士,MITSUI OCEAN FUJI,32477.00,198.20,7.00,KHHX019X  (#19碼頭),2025/12/12,08:00:00,2025/12/12,17:00:00,香港商伍航亞洲有限公司台灣分公司(,
飛鳥二號,ASUKA II,50142.00,241.00,8.00,KHHX019X  (#19碼頭),2025/12/30,11:00:00,2026/01/01,01:00:00,驥達物流有限公司高雄分公司,
歌詩達莎倫娜,COSTA SERENA,114261.00,289.59,8.30,KHHX019X  (#19碼頭),2026/03/15,14:00:00,2026/03/15,21:30:00,經偉船務代理股份有限公司高雄分公,
歌詩達莎倫娜,COSTA SERENA,114261.00,289.59,8.30,KHHX019X  (#19碼頭),2026/03/19,14:00:00,2026/03/19,21:30:00,經偉船務代理股份有限公司高雄分公,
歌詩達莎倫娜,COSTA SERENA,114261.00,289.59,8.30,KHHX019X  (#19碼頭),2026/03/23,14:00:00,2026/03/23,21:30:00,經偉船務代理股份有限公司高雄分公,
歌詩達莎倫娜,COSTA SERENA,114261.00,289.59,8.30,KHHX019X  (#19碼頭),2026/03/27,14:00:00,2026/03/27,18:00:00,經偉船務代理股份有限公司高雄分公,
